PG,CVX
29.9547,22.1351
29.8403,22.8226
30.086,20.6246
29.9085,20.1421
28.583,20.1758
29.0598,20.0103
29.0733,19.3842
27.8128,19.5268
30.2557,19.6729
30.6672,19.1129
31.3396,21.812
30.4386,22.1994
30.146,22.1718
29.947,22.6279
31.8442,22.187
33.8819,23.072
33.1752,23.5473
34.43,27.0873
35.0051,27.0747
35.5003,27.9351
36.321,27.7549
36.7982,28.9311
37.5185,28.8102
37.8874,29.9925
36.4609,30.4833
39.1317,31.3322
37.8382,34.4751
35.9523,34.1023
37.568,35.3591
38.6919,34.0056
37.5601,35.2296
37.4613,40.4816
37.3978,38.0232
38.4072,33.9086
39.1165,35.3845
37.4142,36.7925
39.6593,38.1676
39.5523,40.6986
42.3897,42.9059
40.1189,37.8285
40.9787,38.2915
41.4731,37.9307
42.644,39.6746
43.148,38.0393
41.4921,39.0428
42.1423,41.097
39.2753,40.6147
40.2527,42.1567
40.9144,44.6837
45.064,44.0891
45.1223,44.4041
46.3797,46.0061
45.9407,49.8798
47.0236,50.7144
47.69,50.2661
46.6755,47.5988
46.4329,51.3778
47.606,54.0384
46.9776,57.0183
45.233,58.9424
45.9851,59.6561
48.5497,61.8404
52.2889,65.9415
51.936,64.4828
55.2829,62.2633
54.8496,66.2076
49.1197,59.0569
49.6903,61.9186
52.6111,60.9898
50.6319,68.6992
49.8768,71.3171
45.9199,71.3027
49.7557,60.8227
53.0155,62.5583
52.9547,59.7754
49.355,54.0646
49.2097,57.7565
47.2749,54.0722
41.9695,51.5502
37.0949,44.7877
36.2632,49.605
38.4018,48.764
40.3436,49.6603
39.6912,49.3474
43.4612,51.7459
42.3651,52.6173
45.3481,52.986
45.7571,57.5826
49.1889,59.2279
47.8319,58.431
48.9064,54.7349
50.281,55.3967
50.2731,58.1014
49.7711,62.3998
48.9143,57.1281
48.0255,52.4802
49.3535,58.9378
48.1511,57.8263
48.3932,63.267
51.6924,64.477
49.6595,63.7454
52.3104,71.8386
51.715,74.7358
51.6495,82.2938
50.4617,85.2604
53.6059,86.8071
55.3404,83.8574
52.5073,82.2028
51.2054,83.146
53.0291,79.6384
52.6127,74.6026
53.7217,84.642
54.2086,83.5002
56.0052,86.4075
53.3468,83.7438
57.2226,89.2956
56.8756,87.7326
54.3101,87.2007
53.158,81.1736
52.2705,87.1103
55.5559,90.4791
57.837,93.3508
59.705,97.0129
60.0911,91.7533
60.6032,88.7243
58.9195,90.781
65.7577,96.6657
66.6501,99.1103
67.4201,100.5232
67.6594,103.222
67.6506,104.6855
67.8533,100.9245
71.3001,107.3634
69.1603,103.5554
67.118,104.4755
72.2598,103.1512
75.365,106.1678
72.8504,108.3096
69.0823,96.7945
70.9216,100.891
72.6708,104.0228
75.0232,109.8053
73.4237,108.334
71.4243,115.1804
70.8311,114.0246
76.1351,115.1806
76.7123,106.1673
80.5588,106.7278
83.4758,97.7675
84.085,100.74
78.361,92.0741
79.1419,96.742
76.1763,95.2004
74.5117,100.714
73.4621,94.3356
73.3216,88.3549
72.4669,81.037
66.7697,75.1117
67.9696,73.1549
72.813,84.2839
71.3449,85.7263
75.7015,84.4496
78.5537,81.1734
77.2074,79.3225
79.1499,90.6923
77.6746,97.1378
78.5665,97.031
82.0858,100.7105
83.6274,98.4528
85.308,97.6456
87.692,99.9173
85.464,101.694
81.1908,109.3895
82.7858,115.4101
86.9347,109.1836
90.3784,111.3671
89.1676,106.2888
87.33,105.6255
88.09,103.48
